Player,Team,Actual Goals,FotMob Rating,Expected Goals (xG),Shot Accuracy (%),Matches,Actual Assists,Saves per 90(GK),Total Saves(GK),Clean Sheets(GK),Goals Conceded per 90(GK),Goals Conceded,Chances Created,Chances Created per 90,Big Chances Created,Big Chances Missed,Blocks per 90,Total Blocks,Interceptions per 90,Total Interceptions,Clearances per 90,Total Clearances
Frederik RÃ¸nnow,1. FC Union Berlin,0,6.71,0.1,0.5,33,0,3.3,109,7,1.7,56,1,1.3,1,0.2,0.1,0,0.84,1,0.9,30
Emir Karic,SV Darmstadt,0,6.7,0.4,25,27,0,0,0,0,0,0,21,1.1,0.5,0.2,0.6,11,0.7,13,2,40
Danilho Doekhi,1. FC Union Berlin,2,6.7,1.2,12.5,24,0,0,0,0,0,0,4,0.2,0.5,1,1,25,1.6,38,4.3,103
Lukas Kübler,SC Freiburg,1,6.7,0.6,37.5,26,0,0,0,0,0,0,4,0.2,0.5,1,0.7,15,1.8,37,2.6,54
Gian-Luca Waldschmidt,FC Köln,3,6.69,2.9,37.2,22,0,0,0,0,0,0,17,1.3,3,3,0.2,3,0.5,6,0.5,6
Benedikt Gimber,1. FC Heidenheim 1846,1,6.69,1.4,16.7,24,1,0,0,0,0,0,3,0.1,2,1,0.8,17,0.7,16,4.4,98
Cristian Gamboa,VfL Bochum,0,6.69,0.1,16.7,22,1,0,0,0,0,0,10,0.8,2,0.2,0.5,7,1.1,15,2.1,28
Rani Khedira,1. FC Union Berlin,0,6.69,0.4,33.3,20,0,0,0,0,0,0,5,0.3,0.5,1,0.3,5,1.5,22,2.4,36
Yussuf Poulsen,RB Leipzig,5,6.68,5.7,55.2,28,2,0,0,0,0,0,13,1,3,8,0.2,3,0.3,4,1,14
Dejan Ljubicic,FC Köln,0,6.68,1.9,26.3,26,2,0,0,0,0,0,28,1.2,8,1,0.1,2,0.8,18,0.5,11
Kilian Sildillia,SC Freiburg,0,6.68,0.6,14.3,27,1,0,0,0,0,0,11,0.5,1,1,0.7,15,1.1,22,3.1,62
Manuel Riemann,VfL Bochum,0,6.68,2.4,0.5,33,0,3.6,118,4,2.1,70,4,0.1,0.5,0.2,0.1,0,0.84,1,1.2,38
Alexander Nobel,VfB Stuttgart,0,6.68,2.4,0.5,30,0,2.5,76,11,1.2,36,7,1.3,0.5,0.2,0.1,0,0.84,0,0.8,24
Jordan Pefok,Borussia Mönchengladbach,5,6.67,6.9,28.6,26,3,0,0,0,0,0,22,1.4,7,7,0.2,4,0.3,5,1.7,27
Marvin Pieringer,1. FC Heidenheim 1846,3,6.67,2.3,29.6,31,3,0,0,0,0,0,14,0.8,3,2,0.2,4,0.7,12,1.2,21
Jordy Makengo,SC Freiburg,0,6.67,0.2,0.5,20,0,0,0,0,0,0,5,0.4,0.5,0.2,0.4,4,1,11,3.1,35
Woo-Yeong Jeong,VfB Stuttgart,2,6.66,1.8,44.4,26,3,0,0,0,0,0,9,1.3,3,2,0.1,0,1,7,0.7,5
Moritz Jenz,VfL Wolfsburg,0,6.66,0.3,0.5,22,1,0,0,0,0,0,4,0.2,1,1,0.9,17,1.3,26,4.7,91
Lucas Tousart,1. FC Union Berlin,0,6.66,1.5,24,23,0,0,0,0,0,0,7,0.4,2,2,0.5,9,1.4,25,2.2,38
Aurelio Buta,Eintracht Frankfurt,1,6.65,0.5,30.8,30,1,0,0,0,0,0,9,0.5,0.5,0.2,0.3,5,0.8,15,1.7,32
Lennard Maloney,1. FC Heidenheim 1846,1,6.65,0.8,21.4,29,1,0,0,0,0,0,8,0.3,2,3,0.4,9,1,25,3.2,82
Nick Woltemade,SV Werder Bremen,2,6.64,2.5,27.3,30,0,0,0,0,0,0,24,1.8,0.5,2,0.1,0,0.4,5,1.1,15
Kevin Sessa,1. FC Heidenheim 1846,3,6.63,2.9,24.1,30,0,0,0,0,0,0,17,1.5,2,4,0.1,1,0.4,4,1.4,16
Kevin Vogt,1. FC Union Berlin,0,6.63,0.7,33.3,32,0,0,0,0,0,0,3,0.1,0.5,1,1,28,0.5,16,4,116
Davie Selke,FC Köln,6,6.63,4.8,33.3,19,0,0,0,0,0,0,11,0.8,0.5,2,0.2,3,0.84,0,1.4,20
Nathan N'Goumou,Borussia Mönchengladbach,5,6.62,3.8,38.7,32,2,0,0,0,0,0,16,1,2,4,0.1,0,0.3,5,1.1,17
Jan Thielmann,FC Köln,1,6.62,2.3,32.4,22,0,0,0,0,0,0,16,0.9,1,4,0.3,6,0.5,8,1.4,24
Milos Veljkovic,SV Werder Bremen,2,6.62,1.7,50,23,1,0,0,0,0,0,6,0.3,1,0.2,0.9,20,0.8,17,2.6,56
Adrian Beck,1. FC Heidenheim 1846,1,6.62,1.7,25,23,1,0,0,0,0,0,11,1,2,2,0.1,0,0.4,4,1.4,15
Václav Cerný,VfL Wolfsburg,4,6.61,2.4,25,22,0,0,0,0,0,0,14,1.4,1,3,0.1,0,0.8,8,0.4,4
Noah Weisshaupt,SC Freiburg,1,6.61,0.5,33.3,24,2,0,0,0,0,0,16,1.9,5,0.2,0.1,1,1,8,1.3,11
Karim Adeyemi,Borussia Dortmund,3,6.61,3.5,43.5,21,1,0,0,0,0,0,9,0.9,3,4,0.1,0,0.3,3,0.4,4
Jonas Föhrenbach,1. FC Heidenheim 1846,0,6.61,0.5,0.5,33,0,0,0,0,0,0,13,0.4,0.5,0.2,0.6,19,1,31,2,61
Denis Huseinbasic,FC Köln,0,6.61,0.3,25,26,3,0,0,0,0,0,16,0.9,0.5,0.2,0.1,1,0.7,13,0.6,11
Norman Theuerkauf,1. FC Heidenheim 1846,0,6.6,0.4,28.6,25,1,0,0,0,0,0,13,0.9,1,1,0.4,6,1,14,1.3,18
Christoph Baumgartner,RB Leipzig,5,6.59,4.4,38.7,32,1,0,0,0,0,0,16,1.3,2,4,0.1,1,0.4,5,1.1,14
Luca Pfeiffer,SV Darmstadt,1,6.59,4.6,39.6,24,3,0,0,0,0,0,19,1.1,2,7,0.1,1,0.1,2,1.2,21
Marius Bülter,TSG Hoffenheim,1,6.58,1.5,28.6,30,4,0,0,0,0,0,21,1.4,6,2,0.2,3,0.7,10,1.3,19
Takuma Asano,VfL Bochum,6,6.58,7.9,36.9,29,1,0,0,0,0,0,21,0.9,2,12,0.1,3,0.2,4,0.4,10
Finn Dahmen,FC Augsburg,0,6.58,2.4,0.5,31,0,3.5,110,3,1.7,52,1,1.3,0.5,0.2,0.1,0,0.84,0,1,30
Umut Tohumcu,TSG Hoffenheim,0,6.57,0.5,20,20,2,0,0,0,0,0,9,0.8,3,0.2,0.1,1,0.5,6,0.9,10
Arne Engels,FC Augsburg,3,6.56,1.8,35,32,2,0,0,0,0,0,19,1.2,1,1,0.1,1,1,15,1.3,20
Joseph Scally,Borussia Mönchengladbach,1,6.56,0.6,9.1,31,4,0,0,0,0,0,16,0.6,3,1,0.4,11,0.7,18,2.9,71
Christopher Antwi-Adjej,VfL Bochum,2,6.55,2.2,31,25,2,0,0,0,0,0,24,1.8,7,1,0.1,2,0.1,2,0.7,9
Moritz Nicolas,Borussia Mönchengladbach,0,6.55,2.4,0.5,27,0,4.2,114,4,1.8,49,7,1.3,0.5,0.2,0.1,0,0.84,0,1,28
Ivan Ordets,VfL Bochum,1,6.54,1.3,37.5,24,0,0,0,0,0,0,4,0.2,1,1,1.4,29,1.5,31,6,126
Alex Kral,1. FC Union Berlin,0,6.54,1.9,27.8,24,0,0,0,0,0,0,5,0.3,1,2,0.3,4,0.7,11,1.8,28
Kevin Muller,1. FC Heidenheim 1846,0,6.54,2.4,0.5,34,0,3.6,124,6,1.6,55,1,1.3,0.5,0.2,0.1,0,0.84,0,0.4,14
Brenden Aaronson,1. FC Union Berlin,2,6.53,2,38.9,30,2,0,0,0,0,0,22,1.6,4,2,0.1,1,0.1,2,0.2,3
Matus Bero,VfL Bochum,1,6.53,3,20,24,1,0,0,0,0,0,11,0.6,4,6,0.2,3,0.6,12,1.4,25
Aissa Laidouni,1. FC Union Berlin,0,6.53,0.7,38.5,23,3,0,0,0,0,0,12,1,3,1,0.2,2,1,12,1,12
Manuel Gulde,SC Freiburg,1,6.53,1.1,8.3,27,0,0,0,0,0,0,3,0.1,0.5,1,0.6,14,1.1,25,3.5,79
Noah Atubolu,SC Freiburg,0,6.53,2.4,0.5,34,0,3,103,10,1.7,58,7,1.3,0.5,0.2,0.1,0,0.84,0,0.6,21
Marvin Friedrich,Borussia Mönchengladbach,0,6.53,0.6,16.7,24,0,0,0,0,0,0,5,0.3,0.5,2,1.2,20,1,17,5,86
Linton Maina,FC Köln,1,6.52,1.9,33.3,31,3,0,0,0,0,0,21,1,6,1,0.1,1,0.3,6,0.5,11
Benno Schmitz,FC Köln,0,6.52,0.2,62.5,22,1,0,0,0,0,0,5,0.4,0.5,0.2,0.3,4,0.5,7,2,26
Janis Blaswich,RB Leipzig,0,6.52,2.4,0.5,21,0,2.2,47,5,1.4,30,1,1.3,0.5,0.2,0.1,0,0.84,0,1,20
Kevin Trapp,Eintracht Frankfurt,0,6.52,2.4,0.5,32,0,2.8,90,7,1.5,48,7,1.3,0.5,0.2,0.1,0,0.84,1,0.6,19
Christoph Klarer,SV Darmstadt,2,6.51,1.2,22.2,30,2,0,0,0,0,0,12,0.5,2,1,0.8,20,0.8,21,3.4,90
Koen Casteels,VfL Wolfsburg,0,6.49,2.4,0.5,25,0,3.1,78,4,1.6,39,1,1.3,1,0.2,0.1,0,0.84,0,1,26
Marco Richter,1. FSV Mainz 05,1,6.48,1.9,23.7,20,0,0,0,0,0,0,11,1.4,2,1,0.1,0,0.3,2,0.1,1
Manuel Neuer,Bayern München,0,6.48,2.4,0.5,23,0,2.6,60,6,1.4,33,7,1.3,0.5,0.2,0.1,0,0.84,0,0.8,19
Kevin Volland,1. FC Union Berlin,3,6.47,5.3,38.9,26,4,0,0,0,0,0,20,1.3,6,8,0.1,0,0.4,6,0.7,11
Erhan Masovic,VfL Bochum,0,6.47,1.1,17.6,29,0,0,0,0,0,0,4,0.2,1,2,0.4,10,1,25,2.9,71
Karim Onisiwo,1. FSV Mainz 05,1,6.46,2.3,21.2,24,3,0,0,0,0,0,16,1,3,1,0.2,4,0.1,2,0.4,7
